Engine,Input,Batch,Rounds,Elapsed
UniformPrefill,513,1,128,3.684010535998823
UniformPrefill,513,2,128,4.8016389639997215
UniformPrefill,513,4,128,7.486015423000936
UniformPrefill,513,8,128,13.676943164999102
UniformPrefill,513,16,128,26.221646404999774
UniformPrefill,513,32,128,51.54257698500078
UniformPrefill,513,64,128,101.82606848499927
DifferentPrefill,513,1,128,3.063355517999298
DifferentPrefill,513,2,128,5.130873400998098
DifferentPrefill,513,4,128,9.183234979998815
DifferentPrefill,513,8,128,17.25594144799834
DifferentPrefill,513,16,128,33.36549275899961
DifferentPrefill,513,32,128,65.47760304300027
DifferentPrefill,513,64,128,130.14029864100303
